my_name,my_value
model_lstm0_output_70000_plus_50000.pth, 33.815442637329895
model_lstm0_output_70000_plus_51000.pth, 33.181508866088066
model_lstm0_output_70000_plus_52000.pth, 32.251635871684584
model_lstm0_output_70000_plus_53000.pth, 34.062688096693904
model_lstm0_output_70000_plus_54000.pth, 33.34316276825678
model_lstm0_output_70000_plus_55000.pth, 32.67137081394743
model_lstm0_output_70000_plus_56000.pth, 33.23899762720834
model_lstm0_output_70000_plus_57000.pth, 32.715711789223455
model_lstm0_output_70000_plus_58000.pth, 32.97642421710061
model_lstm0_output_70000_plus_59000.pth, 32.762577409065564
model_lstm0_output_70000_plus_60000.pth, 31.100311165925167
model_lstm0_output_70000_plus_61000.pth, 30.895213949280638
model_lstm0_output_70000_plus_62000.pth, 31.312050312281773
model_lstm0_output_70000_plus_63000.pth, 32.45639601337438
model_lstm0_output_70000_plus_64000.pth, 33.25891498057109
model_lstm0_output_70000_plus_65000.pth, 34.15509907015906
model_lstm0_output_70000_plus_66000.pth, 31.230297324349998
model_lstm0_output_70000_plus_67000.pth, 33.5093370314207
model_lstm0_output_70000_plus_68000.pth, 31.265058093766076
model_lstm0_output_138000_plus_0.pth, 31.164871921230596
model_lstm0_output_138000_plus_1000.pth, 34.48403203744964
model_lstm0_output_138000_plus_2000.pth, 31.629464487980464
model_lstm0_output_138000_plus_3000.pth, 32.071097182184786
model_lstm0_output_138000_plus_4000.pth, 31.686477875323522
model_lstm0_output_138000_plus_5000.pth, 33.58419376936142
model_lstm0_output_138000_plus_6000.pth, 32.44650669526814
model_lstm0_output_138000_plus_7000.pth, 31.79420077930868
model_lstm0_output_138000_plus_8000.pth, 33.01131394930267
model_lstm0_output_138000_plus_9000.pth, 32.04052062388158
model_lstm0_output_138000_plus_10000.pth, 35.13197563474762
model_lstm0_output_138000_plus_11000.pth, 33.40185623664184
model_lstm0_output_138000_plus_12000.pth, 33.6917455504751
model_lstm0_output_138000_plus_13000.pth, 33.218626490661435
model_lstm0_output_138000_plus_14000.pth, 31.864295395399363
model_lstm0_output_138000_plus_15000.pth, 32.70315996275843
model_lstm0_output_138000_plus_16000.pth, 30.9187115585256
model_lstm0_output_138000_plus_17000.pth, 32.188803840696366
model_lstm0_output_138000_plus_18000.pth, 31.641513792783638
model_lstm0_output_138000_plus_19000.pth, 31.396247119467713
model_lstm0_output_138000_plus_20000.pth, 29.842566021543952
model_lstm0_output_138000_plus_21000.pth, 32.024304025253166
model_lstm0_output_138000_plus_22000.pth, 30.704977606389754
model_lstm0_output_138000_plus_23000.pth, 32.755646861047225
model_lstm0_output_138000_plus_24000.pth, 30.80316413246172
model_lstm0_output_138000_plus_25000.pth, 31.384718800503475
model_lstm0_output_138000_plus_26000.pth, 31.67330438138632
model_lstm0_output_138000_plus_27000.pth, 32.14781344311282
model_lstm0_output_138000_plus_28000.pth, 29.932633552436066
model_lstm0_output_138000_plus_29000.pth, 29.417651350941917
model_lstm0_output_138000_plus_30000.pth, 30.35601096274274
model_lstm0_output_138000_plus_31000.pth, 32.94919882321599
model_lstm0_output_138000_plus_32000.pth, 30.817889079850918
model_lstm0_output_138000_plus_33000.pth, 30.044899929037438
model_lstm0_output_138000_plus_34000.pth, 32.38971976356056
model_lstm0_output_138000_plus_35000.pth, 32.74198534541985
model_lstm0_output_138000_plus_36000.pth, 32.499655314128965
model_lstm0_output_138000_plus_37000.pth, 30.091197816269215
model_lstm0_output_138000_plus_38000.pth, 30.753254228363623
model_lstm0_output_138000_plus_39000.pth, 33.04139568548637
model_lstm0_output_138000_plus_40000.pth, 31.62381500771417
model_lstm0_output_138000_plus_41000.pth, 30.589279020681545
model_lstm0_output_138000_plus_42000.pth, 31.94576576676967
model_lstm0_output_138000_plus_43000.pth, 32.96267890378338
model_lstm0_output_138000_plus_44000.pth, 29.782115696648123
model_lstm0_output_138000_plus_45000.pth, 29.44070615710595
model_lstm0_output_138000_plus_46000.pth, 30.14776944499159
model_lstm0_output_138000_plus_47000.pth, 30.49573841021372
model_lstm0_output_138000_plus_48000.pth, 29.785018579613876
model_lstm0_output_138000_plus_49000.pth, 30.22003379343946
model_lstm0_output_138000_plus_50000.pth, 31.700421569656907
model_lstm0_output_138000_plus_51000.pth, 31.52719069148762
model_lstm0_output_138000_plus_52000.pth, 31.130974609193444
model_lstm0_output_138000_plus_53000.pth, 29.62188984684578
model_lstm0_output_138000_plus_54000.pth, 29.11106492329252
model_lstm0_output_138000_plus_55000.pth, 31.585891796864697
model_lstm0_output_138000_plus_56000.pth, 29.251736618641694
model_lstm0_output_138000_plus_57000.pth, 30.017183534929778
model_lstm0_output_138000_plus_58000.pth, 29.738840795080016
model_lstm0_output_138000_plus_59000.pth, 30.81163083335911
model_lstm0_output_138000_plus_60000.pth, 30.048448754847666
model_lstm0_output_138000_plus_61000.pth, 30.344443376485305
model_lstm0_output_138000_plus_62000.pth, 31.71346677111825
model_lstm0_output_138000_plus_63000.pth, 29.401072986947373
model_lstm0_output_138000_plus_64000.pth, 33.27719077732853
model_lstm0_output_138000_plus_65000.pth, 30.661444856084337
model_lstm0_output_138000_plus_66000.pth, 29.343451746474067
model_lstm0_output_138000_plus_67000.pth, 31.14397356980484
model_lstm0_output_138000_plus_68000.pth, 30.902864002054812
model_lstm0_output_138000_plus_69000.pth, 30.71414457032293


model_lstm0_output_208k_plus_0.pth, 31.424405638264783
model_lstm0_output_208k_plus_1000.pth, 30.944139736211223
model_lstm0_output_208k_plus_2000.pth, 30.073382295574284
model_lstm0_output_208k_plus_3000.pth, 31.4094536317293
model_lstm0_output_208k_plus_4000.pth, 30.55896770665922
model_lstm0_output_208k_plus_5000.pth, 28.359717278235422
model_lstm0_output_208k_plus_6000.pth, 31.437732286227362
model_lstm0_output_208k_plus_7000.pth, 29.46197313332715
model_lstm0_output_208k_plus_8000.pth, 30.36334436042556
model_lstm0_output_208k_plus_9000.pth, 28.88617998391877
model_lstm0_output_208k_plus_10000.pth, 29.11131940122737
model_lstm0_output_208k_plus_11000.pth, 28.0963074897281
model_lstm0_output_208k_plus_12000.pth, 27.808701852636936
model_lstm0_output_208k_plus_13000.pth, 28.573894282308906
model_lstm0_output_208k_plus_14000.pth, 31.895468960226175
model_lstm0_output_208k_plus_15000.pth, 28.020650065469155
model_lstm0_output_208k_plus_16000.pth, 27.390550765121624

model_lstm0_output_225k_plus_0.pth, 30.531244667619617
model_lstm0_output_225k_plus_1000.pth, 26.502101432759233
model_lstm0_output_225k_plus_2000.pth, 31.54913325344685
